start,end,path,degree
Hildeburh,Homunculus,Hildeburh->Literature->Mimesis->Simulacrum->Homunculus,4
Rob Warner,Homunculus,"Rob Warner->Rob Warner (footballer)->Stratford, London->Chadwell Heath->Frankenstein->Homunculus",5
Ping Zhang,Homunculus,Ping Zhang->Digital object identifier->ISO 259->Golem->Homunculus,4
Khabur River,Homunculus,Khabur River->Khabur (Euphrates)->River->Fractal->Homunculus,4
Binary betting,Homunculus,Binary betting->Gambling->Ummah->Alchemy and chemistry in medieval Islam->Homunculus,4
Chapel Island 5,Homunculus,Chapel Island 5->List of National Historic Sites of Canada in Nova Scotia->British Empire->John Dee->Homunculus,4
The Kaleidoscope Trust,Homunculus,The Kaleidoscope Trust->LGBT->Swinging (sexual practice)->John Dee->Homunculus,4
Sad va Soleyman,Homunculus,Sad va Soleyman->Time zone->Immortality->Elixir of life->Homunculus,4
Wheelchair fencing at the 2012 Summer Paralympics – Men's sabre B,Homunculus,"Wheelchair fencing at the 2012 Summer Paralympics – Men's sabre B->2012 Summer Paralympics->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",4
Maulana Azad College of Arts and Science,Homunculus,Maulana Azad College of Arts and Science->Chemistry->History of chemistry->Homunculus,3
Ariel Shtini,Homunculus,Ariel Shtini->Albanians->Ancient Greek religion->Cyranides->Homunculus,4
2008–09 Los Angeles Clippers season,Homunculus,2008–09 Los Angeles Clippers season->Portland Trail Blazers->Portlandia (TV series)->Swinging (sexual practice)->John Dee->Homunculus,5
KRCK-FM,Homunculus,KRCK-FM->KEZN->Classical music->Pythagoras->John Dee->Homunculus,5
List of people from Lleida,Homunculus,List of people from Lleida->Romanticism->Frankenstein->Homunculus,3
Bioprocess engineering,Homunculus,Bioprocess engineering->Microbiology->Preformationism->Homunculus,3
Claude Louis François Régnier de Guerchy,Homunculus,Claude Louis François Régnier de Guerchy->France->Antoine Lavoisier->History of chemistry->Homunculus,4
Doolgunna,Homunculus,Doolgunna->Gold->Philosopher's stone->Homunculus,3
Mithril,Homunculus,Mithril->The Lord of the Rings: The Return of the King->The Golden Voyage of Sinbad->Homunculus,3
James Bridie,Homunculus,James Bridie->University of Glasgow->Queen Mary University of London->Edgar Adrian->Homunculus,4
Umiasussuk,Homunculus,Umiasussuk->Upernavik Archipelago->Whale->Mandrake->Homunculus,4
St. Enoch Centre,Homunculus,St. Enoch Centre->University of Strathclyde->Frankenstein->Homunculus,3
François Lefebvre de Caumartin,Homunculus,François Lefebvre de Caumartin->Yves Pouliquen->Jean-Luc Marion->Roger Bacon->John Dee->Homunculus,5
Thrianta,Homunculus,Thrianta->Swiss Alps->Swiss literature->Charles Bonnet->Homunculus,4
Baghdad Central Station,Homunculus,Baghdad Central Station->British people->British Empire->John Dee->Homunculus,4
Leonidas Lent Hamline,Homunculus,Leonidas Lent Hamline->John Wesley->Latin->List of Latin words with English derivatives->Homunculus,4
Lockitron,Homunculus,Lockitron->Google Home->Monopoly video games->Runecraft->Shadow of Memories->Homunculus,5
Viveiros,Homunculus,Viveiros->Surname->Heredity->Homunculus,3
"Point Samson, Western Australia",Homunculus,"Point Samson, Western Australia->Division of Durack->Mexico->Maya civilization->John Dee->Homunculus",5
Montreuil-Bellay,Homunculus,Montreuil-Bellay->Bibliothèque nationale de France->Saint-Jacques Tower->Nicolas Flamel->Homunculus,4
Kyrölä railway station,Homunculus,Kyrölä railway station->Swedish language->Swedish realism->Alchemy->Homunculus,4
Trichostichia,Homunculus,Trichostichia->Taxonomy (biology)->History of evolutionary thought->Homunculus,3
Keweenaw National Historical Park,Homunculus,Keweenaw National Historical Park->Copper->Alchemy->Homunculus,3
Garuda Indonesia Flight 150,Homunculus,"Garuda Indonesia Flight 150->Garuda Indonesia->Darwin, Northern Territory->History of evolutionary thought->Homunculus",4
Banki State,Homunculus,Banki State->Thanjavur Maratha kingdom->Mughal Empire->Alchemy and chemistry in medieval Islam->Homunculus,4
Petar Aleksandrov,Homunculus,Petar Aleksandrov->Grasshopper Club Zürich->Austria->Paracelsus->Homunculus,4
Oberkommando der Marine,Homunculus,Oberkommando der Marine->Reichswehr->Stuttgart->Adventure game->Shadow of Memories->Homunculus,5
White Flag (Johns painting),Homunculus,White Flag (Johns painting)->Pop art->Simulacrum->Homunculus,3
Athletics at the 1997 East Asian Games,Homunculus,Athletics at the 1997 East Asian Games->Harumi Hiroyama->London Marathon->Limehouse->John Dee->Homunculus,5
Arne Sandstø,Homunculus,Arne Sandstø->Association football->Goal (sport)->Bad faith->Homunculus,4
Jeff Nicholson,Homunculus,Jeff Nicholson->Caliber Comics->Frankenstein->Homunculus,3
1924 Tulane Green Wave football team,Homunculus,1924 Tulane Green Wave football team->1931 Tulane Green Wave football team->International Standard Book Number->Library->John Dee->Homunculus,5
Nikos Vergos,Homunculus,Nikos Vergos->Rubén Baraja->Surname->Heredity->Homunculus,4
Brish Run,Homunculus,Brish Run->Sandstone->Crystal->Fractal->Homunculus,4
Operation Board Games,Homunculus,Operation Board Games->Rod Blagojevich corruption charges->Federal Bureau of Investigation->Library->John Dee->Homunculus,5
Austin City Hall,Homunculus,"Austin City Hall->Austin City Hall (Austin, Texas)->United States->English overseas possessions->John Dee->Homunculus",5
Kootathil Oruthan,Homunculus,Kootathil Oruthan->Romantic comedy film->Occult detective fiction->Shadow of Memories->Homunculus,4
Valdez High School,Homunculus,Valdez High School->United States->English overseas possessions->John Dee->Homunculus,4
John Kogut,Homunculus,John Kogut->Integrated Authority File->Library->John Dee->Homunculus,4
MSC Armonia,Homunculus,MSC Armonia->Cozumel->Maya civilization->John Dee->Homunculus,4
Good luck charm,Homunculus,Good luck charm->Mooncalf->Homunculus,2
Diplomatic uniform,Homunculus,Diplomatic uniform->Weimar Republic->Éminence grise->John Dee->Homunculus,4
1662 in England,Homunculus,1662 in England->Robert Boyle->Suspicions about the Hidden Realities of the Air->Homunculus,3
"Highland, Missouri",Homunculus,"Highland, Missouri->Telephone numbering plan->History of the Internet->History of artificial intelligence->Homunculus",4
Mikael Lindström,Homunculus,Mikael Lindström->China->Chinese alchemy->Waidan->Homunculus,4
Lafayette hillside memorial,Homunculus,Lafayette hillside memorial->Halloween 2002 anti-war protest->University of Cambridge->John Dee->Homunculus,4
47th station (CTA Green Line),Homunculus,47th station (CTA Green Line)->Chicago->Czech Republic->Golem->Homunculus,4
Shorts in a Bunch,Homunculus,Shorts in a Bunch->ChalkZone->Adventure Time->Elemental->Homunculus,4
OR5A2,Homunculus,OR5A2->Gene nomenclature->Heredity->Homunculus,3
Denis Earp,Homunculus,Denis Earp->Bloemfontein->The Hobbit->Elemental->Homunculus,4
Cirque Peak (Alberta),Homunculus,Cirque Peak (Alberta)->Geographic coordinate system->Map->Mental image->Homunculus,4
"Pointers, New Jersey",Homunculus,"Pointers, New Jersey->Lower Alloways Creek Township, New Jersey->Marriage->Heredity->Homunculus",4
The Last Airbender (video game),Homunculus,The Last Airbender (video game)->Avatar: The Last Airbender->Classical element->Homunculus,3
Craig Greenhill,Homunculus,Craig Greenhill->Conan the Barbarian->Elemental->Homunculus,3
Praaklima,Homunculus,Praaklima->Geographic coordinate system->Map->Mental image->Homunculus,4
Cantatorium,Homunculus,Cantatorium->Tract (liturgy)->Holy water->Classical element->Homunculus,4
Thomas Hunt House,Homunculus,Thomas Hunt House->Geographic coordinate system->Map->Mental image->Homunculus,4
Women in Oman,Homunculus,Women in Oman->Mother->Heredity->Homunculus,3
Listed buildings in Næstved Municipality,Homunculus,Listed buildings in Næstved Municipality->Denmark->Austria->Paracelsus->Homunculus,4
Yardbird Suite (album),Homunculus,Yardbird Suite (album)->Music genre->Sampling (music)->Simulacrum->Homunculus,4
Jean Rousseau (politician),Homunculus,Jean Rousseau (politician)->Canadians->British Isles->John Dee->Homunculus,4
2011 Antonio Savoldi–Marco Cò – Trofeo Dimmidisì – Singles,Homunculus,2011 Antonio Savoldi–Marco Cò – Trofeo Dimmidisì – Singles->Austria->Paracelsus->Homunculus,3
Vřesina (Ostrava-City District),Homunculus,Vřesina (Ostrava-City District)->Czech Republic->Golem->Homunculus,3
Ancestor veneration in China,Homunculus,Ancestor veneration in China->Zhenren->Neidan->Homunculus,3
Hymenopodinae,Homunculus,Hymenopodinae->Arthropod->Sperm->Homunculus,3
Lighthouse of Ponta das Contendas,Homunculus,Lighthouse of Ponta das Contendas->Light characteristic->Light->Classical element->Homunculus,4
Acalyptris fortis,Homunculus,Acalyptris fortis->Arthropod->Sperm->Homunculus,3
Greg Truitt,Homunculus,Greg Truitt->Fumble->Luck->Mooncalf->Homunculus,4
USS Folly (SP-1453),Homunculus,USS Folly (SP-1453)->Schooner->Dutch language->List of diminutives by language->Homunculus,4
Peter Schöffer,Homunculus,Peter Schöffer->Johann Fust->Faust (manga)->Homunculus,3
Delias funerea,Homunculus,Delias funerea->Arthropod->Sperm->Homunculus,3
"Sir Peter FitzGerald, 19th Knight of Kerry",Homunculus,"Sir Peter FitzGerald, 19th Knight of Kerry->Valentia Island->Tetrapod->History of evolutionary thought->Homunculus",4
1967–68 Tranmere Rovers F.C. season,Homunculus,1967–68 Tranmere Rovers F.C. season->1967–68 Inter-Cities Fairs Cup->Austria->Paracelsus->Homunculus,4
Carbasalate calcium,Homunculus,Carbasalate calcium->Nucleotide->Heredity->Homunculus,3
Greek ship Ermis,Homunculus,Greek ship Ermis->Hermes->Ouroboros->Homunculus,3
Gianluca Gorini,Homunculus,Gianluca Gorini->Gorizia->Gothic architecture->Frankenstein->Homunculus,4
Miz Ima Starr,Homunculus,Miz Ima Starr->Australia's Got Talent->List of programs broadcast by Nine Network->The Life and Times of Juniper Lee->Homunculus,4
Fengtai Dongdajie Station,Homunculus,Fengtai Dongdajie Station->Geographic coordinate system->Map->Mental image->Homunculus,4
Bahing,Homunculus,Bahing->Tharu people->Heredity->Homunculus,3
Rubin Tyumen,Homunculus,Rubin Tyumen->Metallurg Novokuznetsk->Czech Republic->Golem->Homunculus,4
"Sora, Chile",Homunculus,"Sora, Chile->Village->Industrial Revolution->Frankenstein->Homunculus",4
Capacitor,Homunculus,Capacitor->Electricity->Frankenstein->Homunculus,3
2003–04 Newcastle United SC season,Homunculus,2003–04 Newcastle United SC season->Michael Bridges->Goal (sport)->Bad faith->Homunculus,4
Honoris Crux,Homunculus,Honoris Crux->Honoris Crux Silver->Captain (armed forces)->Warrant officer->Gunpowder->Liber Ignium->Homunculus,6
Stephen Randall Harris,Homunculus,Stephen Randall Harris->Art Agnos->Nation of Islam->Alchemy and chemistry in medieval Islam->Homunculus,4
Emma-Kate Dewhurst,Homunculus,Emma-Kate Dewhurst->Australia->Austria->Paracelsus->Homunculus,4
Rugege Highlands forest chameleon,Homunculus,Rugege Highlands forest chameleon->Squamata->Sperm->Homunculus,3
Maurice Trintignant,Homunculus,Maurice Trintignant->Czech Republic->Golem->Homunculus,3
Chris Sanders (wide receiver),Homunculus,Chris Sanders (wide receiver)->Montgomery Bell Academy->The 25th Annual Putnam County Spelling Bee->Homunculus,3
The Fifth Quarter,Homunculus,The Fifth Quarter->Seven Network->Universal Pictures->Bride of Frankenstein->Homunculus,4
Asahara,Homunculus,Asahara->Surname->Heredity->Homunculus,3
Carrier Air Conditioner move to Mexico,Homunculus,Carrier Air Conditioner move to Mexico->Offshoring->Ibn Khaldun->Alchemy and chemistry in medieval Islam->Homunculus,4
San Juan Teita,Homunculus,San Juan Teita->Municipalities of Mexico->Surface area->Fractal->Homunculus,4
NASASpaceFlight.com,Homunculus,NASASpaceFlight.com->Engineering->History of evolutionary thought->Homunculus,3
Anna,Homunculus,Anna->Morgause->List of works based on Arthurian legends->Homunculus,3
Miccosukee Resort & Gaming,Homunculus,Miccosukee Resort & Gaming->Miami->Islam->Alchemy and chemistry in medieval Islam->Homunculus,4
Penange Dogon,Homunculus,Penange Dogon->Languages of Mali->Arabic->Alchemy->Homunculus,4
Pull printing,Homunculus,Pull printing->License->Accession (property law)->Bad faith->Homunculus,4
Sean Fleming,Homunculus,"Sean Fleming->Seán Fleming->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",4
2001 UEFA–CAF Meridian Cup,Homunculus,2001 UEFA–CAF Meridian Cup->Czech Republic national under-18 football team->Czech Republic->Golem->Homunculus,4
Charles Lapointe,Homunculus,Charles Lapointe->Joseph-Aldric Ouimet->Censure->Censer->Waidan->Homunculus,5
Pakistan Naval Academy,Homunculus,Pakistan Naval Academy->Biology->History of evolutionary thought->Homunculus,3
2017 Irving Tennis Classic,Homunculus,2017 Irving Tennis Classic->Austria->Paracelsus->Homunculus,3
Vijay Dahiya,Homunculus,Vijay Dahiya->Delhi->Hangzhou->Yue Fei->Waidan->Homunculus,5
Gowran (Parliament of Ireland constituency),Homunculus,"Gowran (Parliament of Ireland constituency)->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",3
"Crenshaw Crossing, Illinois",Homunculus,"Crenshaw Crossing, Illinois->Cambria, Illinois->Marriage->Heredity->Homunculus",4
1977 IAAF World Cross Country Championships – Senior men's race,Homunculus,1977 IAAF World Cross Country Championships – Senior men's race->Düsseldorf->Hanns Heinz Ewers->Homunculus,3
Swimming at the 2006 Asian Games – Women's 50 metre butterfly,Homunculus,Swimming at the 2006 Asian Games – Women's 50 metre butterfly->Hangzhou->Yue Fei->Waidan->Homunculus,4
Daved Benefield,Homunculus,Daved Benefield->National Football League->Concussion->Human brain->Cortical homunculus->Homunculus,5
Andy Harpas,Homunculus,Andy Harpas->New South Wales->Platypus->Cortical homunculus->Homunculus,4
USS White Marsh (LSD-8),Homunculus,USS White Marsh (LSD-8)->Ryukyu Islands->Elixir of life->Homunculus,3
"Kim Jung-hyun (footballer, born 1990)",Homunculus,"Kim Jung-hyun (footballer, born 1990)->Hangul->Canadian currency tactile feature->Somatosensory system->Cortical homunculus->Homunculus",5
Rebecca Parchment,Homunculus,Rebecca Parchment->Miss World 2007->Austria->Paracelsus->Homunculus,4
In the Nightside Eclipse,Homunculus,In the Nightside Eclipse->Orc->Elemental->Homunculus,3
Stolen Harmony,Homunculus,Stolen Harmony->1935 in film->Bride of Frankenstein->Homunculus,3
OzLand,Homunculus,OzLand->The Wonderful Wizard of Oz->Elemental->Homunculus,3
279,Homunculus,279->270s->Gunpowder->Liber Ignium->Homunculus,4
István Vincze (mathematician),Homunculus,István Vincze (mathematician)->Mathematics->Fractal->Homunculus,3
Dickel,Homunculus,Dickel->Central European Time->Cologne->Heinrich Cornelius Agrippa->Homunculus,4
Humoresque (1946 film),Homunculus,Humoresque (1946 film)->Australia->Platypus->Cortical homunculus->Homunculus,4
Rimikhan Ziyadov,Homunculus,Rimikhan Ziyadov->Makhachkala->Relative humidity->Itch->Referred itch->Homunculus,5
Sungeo-guk,Homunculus,Sungeo-guk->Hangul->Canadian currency tactile feature->Somatosensory system->Cortical homunculus->Homunculus,5
Xenophage,Homunculus,Xenophage->Xenophagy->Ecology->Index of biology articles->Homunculus,4
Glaucocharis melistoma,Homunculus,Glaucocharis melistoma->Arthropod->Sperm->Homunculus,3
Jai Jai Jai Bajrang Bali,Homunculus,Jai Jai Jai Bajrang Bali->India->China–India relations->Sun Simiao->Waidan->Homunculus,5
Euphaedra graueri,Homunculus,Euphaedra graueri->Butterfly->Censer->Waidan->Homunculus,4
Howard Brown Health Center,Homunculus,Howard Brown Health Center->Kathy Osterman->Cancer->Heredity->Homunculus,4
1925 Boston College Eagles football team,Homunculus,1925 Boston College Eagles football team->Catholic University Cardinals football->Johns Hopkins Blue Jays->Johns Hopkins School of Medicine->Cortical homunculus->Homunculus,5
Marcos Winter,Homunculus,Marcos Winter->Apocalipse (telenovela)->Book of Revelation->Censer->Waidan->Homunculus,5
Emma Leth,Homunculus,Emma Leth->Twitter->Harry Potter->Alchemy->Homunculus,4
Kasia Miednik,Homunculus,Kasia Miednik->Czech Republic->Golem->Homunculus,3
Wilczopole,Homunculus,Wilczopole->Voivodeships of Poland->Translation->Simulacrum->Homunculus,4
U.S. Route 25 in Georgia,Homunculus,"U.S. Route 25 in Georgia->Tattnall County, Georgia->Marriage->Heredity->Homunculus",4
HMS Exmoor (L61),Homunculus,HMS Exmoor (L61)->Naval mine->Gunpowder->Liber Ignium->Homunculus,4
Bonjour Kathrin – Caterina Valente präsentiert ihre größten Erfolge,Homunculus,Bonjour Kathrin – Caterina Valente präsentiert ihre größten Erfolge->Compilation album->Cover version->Simulacrum->Homunculus,4
George Symes,Homunculus,George Symes->George William Symes->21st Army Group->Düsseldorf->Hanns Heinz Ewers->Homunculus,5
Crime harm index,Homunculus,Crime harm index->Shoplifting->Eating disorder->Cortical homunculus->Homunculus,4
"Standard, Indiana",Homunculus,"Standard, Indiana->Hymera, Indiana->Marriage->Heredity->Homunculus",4
William Pearly Oliver,Homunculus,William Pearly Oliver->Order of Canada->Wilder Penfield->Cortical homunculus->Homunculus,4
Short interspersed nuclear element,Homunculus,Short interspersed nuclear element->Leukemia->Heredity->Homunculus,3
Doege–Potter syndrome,Homunculus,Doege–Potter syndrome->Lobe (anatomy)->Cerebral cortex->Homunculus,3
Priscilla Freeman Jacobs,Homunculus,"Priscilla Freeman Jacobs->Wilmington, North Carolina->Batman Forever->9 (2009 animated film)->Homunculus",4
New Zealand women's cricket team in South Africa in 2016–17,Homunculus,New Zealand women's cricket team in South Africa in 2016–17->West Indian cricket team against Pakistan in the UAE in 2016–17->Dengue fever->Itch->Referred itch->Homunculus,5
NER Class W1,Homunculus,NER Class W1->British Rail Class 76->Pluto (mythology)->Ouroboros->Homunculus,5
Pseudorhabdosynochus epinepheli,Homunculus,Pseudorhabdosynochus epinepheli->Vagina->Latin->List of Latin words with English derivatives->Homunculus,5
"Sacred Heart Academy (Stamford, Connecticut)",Homunculus,"Sacred Heart Academy (Stamford, Connecticut)->Geographic coordinate system->Latin->List of Latin words with English derivatives->Homunculus",5
Jurbijarkol,Homunculus,Jurbijarkol->Iran->Avicenna->Elixir of life->Homunculus,5
Amphimasoreus,Homunculus,Amphimasoreus->Arthropod->Sperm->Homunculus,4
Pietro da Pietri,Homunculus,Pietro da Pietri->Baroque->René Descartes->Language of thought hypothesis->Homunculus,5
Justin Pearson,Homunculus,Justin Pearson->Animal rights->Consciousness->Language of thought hypothesis->Homunculus,5
"Chord Line, Tamil Nadu",Homunculus,"Chord Line, Tamil Nadu->Bus->Latin->List of Latin words with English derivatives->Homunculus",5
Guilded Age,Homunculus,Guilded Age->Atomic Robo->Artificial intelligence->Language of thought hypothesis->Homunculus,5
Chichester's Inn,Homunculus,Chichester's Inn->United States->Latin->List of Latin words with English derivatives->Homunculus,5
James Van Cleve,Homunculus,James Van Cleve->Lehigh University->Latin->List of Latin words with English derivatives->Homunculus,5
Nevado de Chañi,Homunculus,Nevado de Chañi->Geographic coordinate system->Latin->List of Latin words with English derivatives->Homunculus,5
1981–82 OHL season,Homunculus,1981–82 OHL season->Barrie Colts->Austria->Paracelsus->Homunculus,5
Sepia rhoda,Homunculus,Sepia rhoda->Binomial nomenclature->Latin->List of Latin words with English derivatives->Homunculus,5
Nicothoe,Homunculus,Nicothoe->Nicothoe tumulosa->Latin->List of Latin words with English derivatives->Homunculus,5
El Caín,Homunculus,El Caín->Geographic coordinate system->Latin->List of Latin words with English derivatives->Homunculus,5
Tarbosaurus,Homunculus,Tarbosaurus->Vertebra->Latin->List of Latin words with English derivatives->Homunculus,5
Edgar Bogardus,Homunculus,Edgar Bogardus->Yale University->Latin->List of Latin words with English derivatives->Homunculus,5
Windows Mobile 6.5,Homunculus,Windows Mobile 6.5->Ars Technica->Latin->List of Latin words with English derivatives->Homunculus,5
Sam Honigberg,Homunculus,Sam Honigberg->Chicago->Latin->List of Latin words with English derivatives->Homunculus,5
Hottāman no Chitei Tanken,Homunculus,Hottāman no Chitei Tanken->Action game->Artificial intelligence->Language of thought hypothesis->Homunculus,5
1962–63 Bahraini Premier League,Homunculus,1962–63 Bahraini Premier League->2009–10 Bahrain First Division League->2010 Indonesia national football team results->Austria->Paracelsus->Homunculus,6
Blackiston Formation,Homunculus,Blackiston Formation->United States->Pragmatism->Language of thought hypothesis->Homunculus,5
Niederöblarn,Homunculus,Niederöblarn->Austria->Paracelsus->Homunculus,4
Edgewater Park School District,Homunculus,Edgewater Park School District->Twelfth grade->Frankenstein->Homunculus,4
Kevin Corrigan,Homunculus,"Kevin Corrigan->Definitely, Maybe->Idealism->Language of thought hypothesis->Homunculus",5
Achiam,Homunculus,Achiam->Thermae->Latin->List of Latin words with English derivatives->Homunculus,5
1972–73 European Cup,Homunculus,1972–73 European Cup->Greece->Latin->List of Latin words with English derivatives->Homunculus,5
Juan Garcia-Herreros,Homunculus,Juan Garcia-Herreros->Germany->Latin->List of Latin words with English derivatives->Homunculus,5
Phoenicurusia,Homunculus,Phoenicurusia->Arthropod->Sperm->Homunculus,4
Drought cycle (Brazilian literature),Homunculus,Drought cycle (Brazilian literature)->Basic Books->Karl Popper->Language of thought hypothesis->Homunculus,5
Gegeneophis carnosus,Homunculus,Gegeneophis carnosus->Binomial nomenclature->List of Latin and Greek words commonly used in systematic names->List of Latin words with English derivatives->Homunculus,5
Rembówko,Homunculus,Rembówko->Warsaw->Latin->List of Latin words with English derivatives->Homunculus,5
Pallesen,Homunculus,Pallesen->Surname->Heredity->Homunculus,4
British Pakistani (disambiguation),Homunculus,British Pakistani (disambiguation)->Britons in Pakistan->United Kingdom->Karl Popper->Language of thought hypothesis->Homunculus,6
Karnataka State Law University,Homunculus,Karnataka State Law University->Geographic coordinate system->Latin->List of Latin words with English derivatives->Homunculus,5
EVE/ZeBu,Homunculus,EVE/ZeBu->Communication protocol->Philosophy of artificial intelligence->Language of thought hypothesis->Homunculus,5
SA Pathology,Homunculus,SA Pathology->Breast cancer->Heredity->Homunculus,4
Alex Remneas,Homunculus,"Alex Remneas->Phoenix, Arizona->American Broadcasting Company->ABC Movie of the Week->Elixir of life->Homunculus",6
Rancho Magaña Airstrip,Homunculus,Rancho Magaña Airstrip->Mexico->Idealism->Language of thought hypothesis->Homunculus,5
1995 Football League Third Division play-off Final,Homunculus,1995 Football League Third Division play-off Final->1994 Intertoto Cup->Austria->Paracelsus->Homunculus,5
American studies,Homunculus,American studies->Literary criticism->Martin Heidegger->Language of thought hypothesis->Homunculus,5
Charles Edward Bright,Homunculus,Charles Edward Bright->Bristol->Norwich->Ouroboros->Homunculus,5
Marina Gritsenko,Homunculus,Marina Gritsenko->2004 Summer Olympics->Athena->Ouroboros->Homunculus,5
Herencia maldita,Homunculus,Herencia maldita->Chispita (telenovela)->Child->Heredity->Homunculus,5
The Adventure of the Ectoplasmic Man,Homunculus,The Adventure of the Ectoplasmic Man->Harry Houdini->H. P. Lovecraft->Elements of the Cthulhu Mythos->Homunculus,5
Ogawa Station (Aichi),Homunculus,Ogawa Station (Aichi)->Japan->Entertainment->Motor skill->Homunculus,5
Beaufort County Courthouse,Homunculus,Beaufort County Courthouse->Courthouse->Film->Bride of Frankenstein->Homunculus,5
Solio Ranch,Homunculus,Solio Ranch->Common eland->Latin->List of Latin words with English derivatives->Homunculus,5
Sunekosuri,Homunculus,Sunekosuri->Yōkai->Imp->Homunculus,4
Yolanda Sanchez,Homunculus,Yolanda Sanchez->Fulbright Program->Saul Kripke->Pirsig's metaphysics of Quality->Homunculus,4
Jure Košir,Homunculus,Jure Košir->France->Alfred North Whitehead->Pirsig's metaphysics of Quality->Homunculus,4
No. 10 Local Air Supply Unit RAAF,Homunculus,No. 10 Local Air Supply Unit RAAF->Avro Anson->Steel->Zosimos of Panopolis->Homunculus,4
Teresa Dovalpage,Homunculus,Teresa Dovalpage->Havana->Austria->Paracelsus->Homunculus,4
Oncideres dalmani,Homunculus,Oncideres dalmani->Taxonomy (biology)->Aristotle->Pirsig's metaphysics of Quality->Homunculus,4
Robyn North,Homunculus,Robyn North->England->Aristotle->Pirsig's metaphysics of Quality->Homunculus,4
Luis García Berlanga,Homunculus,Luis García Berlanga->Spanish naming customs->Diminutive->List of diminutives by language->Homunculus,4
Gakologelwang Masheto,Homunculus,Gakologelwang Masheto->Beijing->Austria->Paracelsus->Homunculus,4
DFW Tornados,Homunculus,DFW Tornados->FIFA eligibility rules->Court of Arbitration for Sport->Bad faith->Homunculus,4
Howard Davies (economist),Homunculus,Howard Davies (economist)->London School of Economics->List of University of London people->Raymond Briggs->Homunculus,4
List of spa towns in France,Homunculus,List of spa towns in France->Aulus-les-Bains->Mercury (element)->Chrysopoeia->Homunculus,4
2009 Honda Indy Toronto,Homunculus,2009 Honda Indy Toronto->Exhibition Place->Sphinx->Atalanta Fugiens->Homunculus,4
Troy Newman (activist),Homunculus,Troy Newman (activist)->Adolf Hitler->Arthur Schopenhauer->Pirsig's metaphysics of Quality->Homunculus,4
Oskar D'Amico,Homunculus,Oskar D'Amico->Ancient Rome->Ares->Papyrus Graecus Holmiensis->Homunculus,4
Two Small Bodies,Homunculus,Two Small Bodies->United States->Charles Sanders Peirce->Pirsig's metaphysics of Quality->Homunculus,4
Liên Sơn,Homunculus,Liên Sơn->Time zone->Islamic calendar->Alchemy and chemistry in medieval Islam->Homunculus,4
Roger Somville,Homunculus,Roger Somville->Netherlands Institute for Art History->Art history->Alchemy->Homunculus,4
1987 World Rally Championship,Homunculus,1987 World Rally Championship->Austria->Paracelsus->Homunculus,3
2016 ICC World Cricket League Division Five,Homunculus,"2016 ICC World Cricket League Division Five->Sue Redfern->Republic of Ireland->The Life and Opinions of Tristram Shandy, Gentleman->Homunculus",4
Kamil Bednarek,Homunculus,"Kamil Bednarek->Kingston, Jamaica->Protestantism->Enlightenment (spiritual)->Homunculus",4
Battle of Dobrynichi,Homunculus,Battle of Dobrynichi->Cannon->Alchemy and chemistry in medieval Islam->Homunculus,3
Placebo studies,Homunculus,Placebo studies->Major depressive disorder->Unconscious mind->Paracelsus->Homunculus,4
"Rain Rock, Ohio",Homunculus,"Rain Rock, Ohio->Pataskala, Ohio->Marriage->Heredity->Homunculus",4
List of Chairmen of the Supreme Soviet of the Turkmen Soviet Socialist Republic,Homunculus,List of Chairmen of the Supreme Soviet of the Turkmen Soviet Socialist Republic->Saparmurat Niyazov->8888 Uprising->Mythical creatures in Burmese folklore->Alchemy->Homunculus,5
Change the World: An Introduction,Homunculus,Change the World: An Introduction->Gary Holland->Fran Drescher->Bride of Frankenstein->Homunculus,4
"Port Stanvac, South Australia",Homunculus,"Port Stanvac, South Australia->Gulf St Vincent->Sea urchin->Sperm->Homunculus",4
Veselin Mareshki,Homunculus,Veselin Mareshki->Independent politician->King Arthur->List of works based on Arthurian legends->Homunculus,4
Happy Rock,Homunculus,"Happy Rock->Sparta, Wisconsin->Marriage->Heredity->Homunculus",4
Kunkayuq,Homunculus,Kunkayuq->Andes->Copper->Alchemy->Homunculus,4
1971 European Athletics Championships – Men's 100 metres,Homunculus,1971 European Athletics Championships – Men's 100 metres->1971 European Athletics Championships – Women's pentathlon->Austria->Paracelsus->Homunculus,4
Sandro Bloudek,Homunculus,Sandro Bloudek->Zenica->Mosque->Alchemy and chemistry in medieval Islam->Homunculus,4
Dam Boz,Homunculus,Dam Boz->Bakhsh->Archon->Enlightenment (spiritual)->Homunculus,4
Ellen Hamlin,Homunculus,"Ellen Hamlin->Bangor, Maine->Marriage->Heredity->Homunculus",4
Toyogdo,Homunculus,Toyogdo->Mogtédo->Time zone->Philosophy of space and time->Pirsig's metaphysics of Quality->Homunculus,5
RU.TV,Homunculus,RU.TV->TV1000 Russkoe Kino->Nova television (Bulgaria)->The Life and Times of Juniper Lee->Homunculus,4
Alan Breeze,Homunculus,Alan Breeze->Norwich->Ouroboros->Homunculus,3
